Element ID,Element Type,Page/Component,Description,Desktop,Mobile,Tablet,Keyboard Accessible,Screen Reader Accessible,Color Contrast,Focus State,Loading State,Toast State,RTL Support,Analytics Events,Status,Notes
destination-card-watch-toggle,Toggle,DestinationCard,Price watch toggle,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,toggle_price_watch,Not Started,
newsletter-email,Input,Newsletter,Email input field,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_newsletter_email,Not Started,
newsletter-submit,Button,Newsletter,Subscribe button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,Pass,N/A,Pass,click_newsletter_subscribe,Not Started,
footer-about,Link,Footer,About us link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_about,Not Started,
footer-destinations,Link,Footer,Destinations link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_destinations,Not Started,
footer-blog,Link,Footer,Blog link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_blog,Not Started,
footer-contact,Link,Footer,Contact link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_contact,Not Started,
footer-roulette,Link,Footer,Roulette link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_roulette,Not Started,
footer-itinerary,Link,Footer,Itinerary builder link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_itinerary,Not Started,
footer-my-trips,Link,Footer,My trips link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_my_trips,Not Started,
footer-subscribe,Link,Footer,Subscribe link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_subscribe,Not Started,
footer-privacy,Link,Footer,Privacy policy link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_privacy,Not Started,
footer-terms,Link,Footer,Terms of service link,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_footer_terms,Not Started,
auth-email,Input,AuthModal,Email input,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_auth_email,Not Started,
auth-password,Input,AuthModal,Password input,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_auth_password,Not Started,
auth-name,Input,AuthModal,Name input (signup),Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_auth_name,Not Started,
auth-submit,Button,AuthModal,Submit auth form,Yes,Yes,Yes,Pass,Pass,Pass,Pass,Pass,N/A,Pass,click_auth_submit,Not Started,
auth-switch,Button,AuthModal,Switch login/signup,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_auth_switch,Not Started,
ai-chat-input,Input,AIChatModal,Chat message input,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,focus_chat_input,Not Started,
ai-chat-send,Button,AIChatModal,Send chat message,Yes,Yes,Yes,Pass,Pass,Pass,Pass,Pass,N/A,Pass,click_chat_send,Not Started,
ai-chat-subscribe,Button,AIChatModal,Subscribe button,Yes,Yes,Yes,Pass,Pass,Pass,Pass,N/A,N/A,Pass,click_chat_subscribe,Not Started,
